client_id,mode,capacity_base_gflops,speedup,capacity_gflops
f0886_40,1,0.367155,3.478261,1.277059
f0900_42,1,0.706840,3.478261,2.458574
f0925_21,2,1.330468,3.478261,4.627715
f0961_08,2,1.452751,3.478261,5.053047
f0968_30,2,1.677114,3.478261,5.833440
f0986_02,2,1.584234,3.478261,5.510381
f1012_30,2,1.533153,3.478261,5.332706
f1013_47,1,0.394622,3.478261,1.372597
f1023_49,2,1.524277,3.478261,5.301832
f1055_16,2,1.659322,3.478261,5.771556
f1073_05,2,1.544203,3.478261,5.371140
f1080_00,1,0.440085,3.478261,1.530729
f1092_01,1,0.480964,3.478261,1.672918
f1111_02,1,0.755416,3.478261,2.627535
f1123_09,2,1.692511,3.478261,5.886993
f1125_41,1,0.499385,3.478261,1.736993
f1131_00,2,1.597652,3.478261,5.557049
f1136_31,2,1.537441,3.478261,5.347621
f1153_08,2,1.536524,3.478261,5.344431
f1175_48,2,1.372976,3.478261,4.775568
f1221_17,1,0.609908,3.478261,2.121420
f1224_16,2,1.779318,3.478261,6.188933
f1269_14,2,1.468099,3.478261,5.106433
f1284_38,2,1.378354,3.478261,4.794274
f1289_06,1,0.519199,3.478261,1.805910
f1292_22,1,0.353742,3.478261,1.230408
f1316_31,1,0.521988,3.478261,1.815611
f1341_45,1,0.450689,3.478261,1.567613
f1375_23,1,0.324387,3.478261,1.128302
f1382_07,1,0.454018,3.478261,1.579191
f1431_47,1,0.459905,3.478261,1.599670
f1495_32,1,0.546194,3.478261,1.899806
f1498_08,2,1.570909,3.478261,5.464030
f1529_23,1,0.483105,3.478261,1.680366
f1531_34,1,0.617929,3.478261,2.149317
f1603_40,1,0.537873,3.478261,1.870861
f1621_46,2,1.573051,3.478261,5.471483
f1673_32,1,0.660488,3.478261,2.297349
f1674_35,2,1.252411,3.478261,4.356214
f1691_07,1,0.493546,3.478261,1.716682
f1708_22,2,1.429068,3.478261,4.970670
f1715_20,2,1.481697,3.478261,5.153730
f1748_30,2,1.457038,3.478261,5.067958
f1773_18,1,0.375722,3.478261,1.306858
f1787_36,2,1.431487,3.478261,4.979084
f1793_33,2,1.225045,3.478261,4.261027
f1795_30,1,0.534299,3.478261,1.858432
f1798_42,2,1.260833,3.478261,4.385505
f1816_24,1,0.391649,3.478261,1.362256
f1860_06,1,0.412973,3.478261,1.436427
f1910_05,2,1.307729,3.478261,4.548622
f1926_49,1,0.346647,3.478261,1.205730
f1930_02,1,0.725221,3.478261,2.522509
f1942_21,1,0.521189,3.478261,1.812831
f1988_11,2,1.516589,3.478261,5.275092
f1993_19,2,1.589932,3.478261,5.530198
f1996_12,2,1.508644,3.478261,5.247457
f1998_10,2,1.354013,3.478261,4.709610
f2032_22,2,1.662430,3.478261,5.782366
f2037_06,2,1.503934,3.478261,5.231074
f2070_11,1,0.401434,3.478261,1.396291
f2071_28,2,1.410769,3.478261,4.907024
f2074_03,2,1.619979,3.478261,5.634709
f2115_77,1,0.369873,3.478261,1.286516
f2132_69,1,0.532125,3.478261,1.850871
f2144_67,2,1.681347,3.478261,5.848165
f2205_74,2,1.693945,3.478261,5.891983
f2206_73,2,1.659475,3.478261,5.772088
f2245_95,1,0.441643,3.478261,1.536150
f2256_71,2,1.601590,3.478261,5.570748
f2257_69,2,1.396399,3.478261,4.857038
f2265_80,2,1.532441,3.478261,5.330230
f2294_71,1,0.480387,3.478261,1.670911
f2341_65,1,0.802097,3.478261,2.789902
f2351_74,2,1.512946,3.478261,5.262420
f2365_62,1,0.518846,3.478261,1.804681
f2393_90,1,0.416487,3.478261,1.448650
f2402_75,1,0.398812,3.478261,1.387173
f2425_91,2,1.484999,3.478261,5.165214
f2456_71,1,0.611789,3.478261,2.127961
f2481_58,2,1.416128,3.478261,4.925664
f2486_95,2,1.596430,3.478261,5.552801
f2494_73,2,1.591216,3.478261,5.534664
f2533_94,1,0.632755,3.478261,2.200886
f2540_95,2,1.322138,3.478261,4.598740
f2551_80,2,1.511055,3.478261,5.255844
f2566_51,2,1.322336,3.478261,4.599428
f2587_73,2,1.404704,3.478261,4.885926
f3115_25,1,0.656720,3.478261,2.284244
f3122_40,1,0.244154,3.478261,0.849233
f3123_42,2,1.527945,3.478261,5.314593
f3133_33,1,0.450157,3.478261,1.565764
f3165_11,1,0.503676,3.478261,1.751916
f3194_31,1,0.537622,3.478261,1.869988
f3206_45,1,0.577273,3.478261,2.007905
f3210_22,2,1.657146,3.478261,5.763986
f3225_26,1,0.668898,3.478261,2.326601
f3242_19,1,0.527387,3.478261,1.834391
f3249_21,1,0.357807,3.478261,1.244545
f3317_25,2,1.349802,3.478261,4.694965
f3350_11,1,0.564574,3.478261,1.963735
f3364_36,2,1.475381,3.478261,5.131759
f3378_44,2,1.628217,3.478261,5.663362
f3382_25,2,1.222788,3.478261,4.253174
f3413_34,1,0.299038,3.478261,1.040132
f3425_47,1,0.712152,3.478261,2.477049
f3430_38,1,0.441900,3.478261,1.537042
f3440_33,2,1.310209,3.478261,4.557248
f3473_21,2,1.630706,3.478261,5.672021
f3491_31,2,1.445076,3.478261,5.026352
f3555_14,2,1.443387,3.478261,5.020476
f3574_30,1,0.397611,3.478261,1.382994
f3586_05,1,0.253979,3.478261,0.883406
f3594_23,2,1.562903,3.478261,5.436183
f3677_29,1,0.445402,3.478261,1.549224
f3710_43,1,0.529100,3.478261,1.840346
f3732_30,1,0.551451,3.478261,1.918090
f3746_12,1,0.684291,3.478261,2.380142
f3754_42,2,1.482297,3.478261,5.155814
f3756_06,1,0.849663,3.478261,2.955351
f3758_19,2,1.344423,3.478261,4.676255
f3781_28,2,1.419463,3.478261,4.937263
f3782_00,1,0.698111,3.478261,2.428213
f3785_26,2,1.601018,3.478261,5.568760
f3790_48,2,1.219966,3.478261,4.243360
f3796_14,2,1.478447,3.478261,5.142423
f3815_34,2,1.399512,3.478261,4.867869
f3857_01,1,0.460679,3.478261,1.602363
f3865_26,1,0.465514,3.478261,1.619179
f3867_42,1,0.384186,3.478261,1.336299
f3898_28,1,0.352927,3.478261,1.227573
f3902_40,1,0.402447,3.478261,1.399816
f3907_43,1,0.392633,3.478261,1.365679
f3938_46,2,1.546007,3.478261,5.377417
f3947_36,2,1.638637,3.478261,5.699609
f3949_09,2,1.401330,3.478261,4.874191
f4015_05,1,0.481203,3.478261,1.673751
f4020_15,1,0.478458,3.478261,1.664201
f4066_22,1,0.510859,3.478261,1.776900
